barcode	sample	clone_id	target_gene	x_um	y_um
s_008um_00399_00115-1	lm994	lm994_MC0005	Ccn1	920.0	3192.0
s_008um_00400_00142-1	lm994	lm994_MC0005	Ccn1	1136.0	3200.0
s_008um_00408_00113-1	lm994	lm994_MC0005	Ccn1	904.0	3264.0
s_008um_00385_00125-1	lm994	lm994_MC0005	Ccn1	1000.0	3080.0
s_008um_00408_00116-1	lm994	lm994_MC0005	Ccn1	928.0	3264.0
s_008um_00436_00149-1	lm994	lm994_MC0007	Ccn1	1192.0	3488.0
s_008um_00397_00135-1	lm994	lm994_MC0005	Ccn1	1080.0	3176.0
s_008um_00417_00142-1	lm994	lm994_MC0004	Ccn1	1136.0	3336.0
s_008um_00401_00133-1	lm994	lm994_MC0005	Ccn1	1064.0	3208.0
s_008um_00398_00113-1	lm994	lm994_MC0005	Ccn1	904.0	3184.0
s_008um_00384_00112-1	lm994	lm994_MC0008	Ccn1	896.0	3072.0
s_008um_00390_00133-1	lm994	lm994_MC0005	Ccn1	1064.0	3120.0
